epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
101,123.81,0.70073,1.03187,0.5853,0.89427,0,0.99584,1,0.995,0.92377,0.99584,1,0.995,0.87888,0.46366,0.58973,0.5189,0.82799,0,0.000505,0.000505,0.000505
102,124.974,0.70634,0.86852,0.61137,0.88235,0,0.9959,1,0.995,0.93412,0.9959,1,0.995,0.86563,0.44636,0.58158,0.50705,0.82254,0,0.00050005,0.00050005,0.00050005
103,126.043,0.65979,0.80199,0.56356,0.88041,0,0.9959,1,0.995,0.93412,0.9959,1,0.995,0.86563,0.44636,0.58158,0.50705,0.82254,0,0.0004951,0.0004951,0.0004951
104,127.347,0.68244,0.9806,0.58961,0.88398,0,0.9959,1,0.995,0.93412,0.9959,1,0.995,0.86563,0.44636,0.58158,0.50705,0.82254,0,0.00049015,0.00049015,0.00049015
105,128.442,0.65443,0.78864,0.58522,0.88312,0,0.9959,1,0.995,0.93412,0.9959,1,0.995,0.86563,0.44636,0.58158,0.50705,0.82254,0,0.0004852,0.0004852,0.0004852
106,129.605,0.74579,0.95364,0.62357,0.91717,0,0.99581,1,0.995,0.89897,0.99581,1,0.995,0.87734,0.45712,0.56556,0.47506,0.8235,0,0.00048025,0.00048025,0.00048025
107,130.751,0.7521,1.02012,0.67204,0.91005,0,0.99581,1,0.995,0.89897,0.99581,1,0.995,0.87734,0.45712,0.56556,0.47506,0.8235,0,0.0004753,0.0004753,0.0004753
108,131.899,0.82489,1.11062,0.79476,0.97996,0,0.99581,1,0.995,0.89897,0.99581,1,0.995,0.87734,0.45712,0.56556,0.47506,0.8235,0,0.00047035,0.00047035,0.00047035
109,133.107,1.01286,1.44588,0.78441,0.9535,0,0.99581,1,0.995,0.89897,0.99581,1,0.995,0.87734,0.45712,0.56556,0.47506,0.8235,0,0.0004654,0.0004654,0.0004654
110,134.257,0.58395,0.76123,0.5316,0.90314,0,0.99585,1,0.995,0.88817,0.99585,1,0.995,0.87013,0.49437,0.58829,0.46144,0.82445,0,0.00046045,0.00046045,0.00046045
111,135.382,0.71925,0.84421,0.61465,0.85752,0,0.99585,1,0.995,0.88817,0.99585,1,0.995,0.87013,0.49437,0.58829,0.46144,0.82445,0,0.0004555,0.0004555,0.0004555
112,136.519,0.96069,1.28773,0.76913,0.99087,0,0.99585,1,0.995,0.88817,0.99585,1,0.995,0.87013,0.49437,0.58829,0.46144,0.82445,0,0.00045055,0.00045055,0.00045055
113,137.66,1.01889,1.12835,0.67252,0.97292,0,0.99585,1,0.995,0.88817,0.99585,1,0.995,0.87013,0.49437,0.58829,0.46144,0.82445,0,0.0004456,0.0004456,0.0004456
114,138.918,0.64152,0.91051,0.6185,0.85805,0,0.99569,1,0.995,0.88894,0.99569,1,0.995,0.8575,0.50116,0.63325,0.46292,0.82415,0,0.00044065,0.00044065,0.00044065
115,140.047,0.63329,0.72455,0.5599,0.89174,0,0.99569,1,0.995,0.88894,0.99569,1,0.995,0.8575,0.50116,0.63325,0.46292,0.82415,0,0.0004357,0.0004357,0.0004357
116,141.173,0.60372,0.67076,0.57077,0.79318,0,0.99569,1,0.995,0.88894,0.99569,1,0.995,0.8575,0.50116,0.63325,0.46292,0.82415,0,0.00043075,0.00043075,0.00043075
117,142.344,0.76624,0.87639,0.65028,0.95009,0,0.99569,1,0.995,0.88894,0.99569,1,0.995,0.8575,0.50116,0.63325,0.46292,0.82415,0,0.0004258,0.0004258,0.0004258
